"year","state_fips","state_name","supersector","employment_march","establishments","payroll_quarter1"
2020,29,"Missouri","Construction",132301,13639,1971657000
2021,29,"Missouri","Construction",132937,14132,1971205000
2001,29,"Missouri","Education and Health Services",386165,14522,2631944000
2002,29,"Missouri","Education and Health Services",395731,15200,2795473000
2003,29,"Missouri","Education and Health Services",401819,15631,2880319000
2004,29,"Missouri","Education and Health Services",407021,16339,3016625000
2005,29,"Missouri","Education and Health Services",415963,16689,3093488000
2006,29,"Missouri","Education and Health Services",422398,16933,3379370000
2007,29,"Missouri","Education and Health Services",414317,17475,3476368000
2008,29,"Missouri","Education and Health Services",421517,17626,3665260000
2009,29,"Missouri","Education and Health Services",431004,17952,3773675000
2010,29,"Missouri","Education and Health Services",442427,17642,3907579000
2011,29,"Missouri","Education and Health Services",448220,18275,4022343000
2012,29,"Missouri","Education and Health Services",456852,20419,4365902000
2013,29,"Missouri","Education and Health Services",459180,24291,4456639000
2014,29,"Missouri","Education and Health Services",462764,27484,4518886000
2015,29,"Missouri","Education and Health Services",481306,30675,4804589000
2016,29,"Missouri","Education and Health Services",487175,32647,4779071000
2017,29,"Missouri","Education and Health Services",483625,22602,5101630000
2018,29,"Missouri","Education and Health Services",494864,25886,5410176000
2019,29,"Missouri","Education and Health Services",495994,24551,5604076000
2020,29,"Missouri","Education and Health Services",500059,23955,5839474000
2021,29,"Missouri","Education and Health Services",484583,23943,5860903000
2001,29,"Missouri","Financial Activities",171772,15404,1981319000
2002,29,"Missouri","Financial Activities",178601,16022,2020884000
2003,29,"Missouri","Financial Activities",180023,16575,2081953000
2004,29,"Missouri","Financial Activities",179832,16989,2225011000
2005,29,"Missouri","Financial Activities",176127,17615,2280956000
2006,29,"Missouri","Financial Activities",177869,17809,2464294000
2007,29,"Missouri","Financial Activities",174863,18159,2525308000
2008,29,"Missouri","Financial Activities",174132,17864,2563089000
2009,29,"Missouri","Financial Activities",163719,17422,2333801000
2010,29,"Missouri","Financial Activities",157932,16989,2388104000
2011,29,"Missouri","Financial Activities",155003,16735,2531278000
2012,29,"Missouri","Financial Activities",154461,17044,2748249000
2013,29,"Missouri","Financial Activities",160264,16924,2810542000
2014,29,"Missouri","Financial Activities",160749,16897,3009359000
2015,29,"Missouri","Financial Activities",164580,16899,3092594000
2016,29,"Missouri","Financial Activities",168658,17125,3115822000
2017,29,"Missouri","Financial Activities",176975,17304,3657264000
2018,29,"Missouri","Financial Activities",176836,17300,3814770000
2019,29,"Missouri","Financial Activities",174286,17373,3881047000
2020,29,"Missouri","Financial Activities",177914,17519,4189822000
2021,29,"Missouri","Financial Activities",182542,17781,4507245000
2001,29,"Missouri","Information",83951,2549,1038960000
2002,29,"Missouri","Information",73662,2555,908418000
2003,29,"Missouri","Information",79082,2607,1008362000
2004,29,"Missouri","Information",77004,2544,992433000
2005,29,"Missouri","Information",71001,2570,912838000
2006,29,"Missouri","Information",66837,2599,978591000
2007,29,"Missouri","Information",62023,2677,930202000
2008,29,"Missouri","Information",70080,2593,1109449000
2009,29,"Missouri","Information",61786,2461,882129000
2010,29,"Missouri","Information",55712,2537,467263000
2011,29,"Missouri","Information",54699,2525,490230000
2012,29,"Missouri","Information",52734,2380,948738000
2013,29,"Missouri","Information",50818,2360,915884000
2014,29,"Missouri","Information",49656,2405,936729000
2015,29,"Missouri","Information",54845,2392,1005111000
2016,29,"Missouri","Information",56757,2559,1066192000
2017,29,"Missouri","Information",55507,2663,1111681000
2018,29,"Missouri","Information",59161,2706,1147491000
2019,29,"Missouri","Information",56572,2690,1167177000
2020,29,"Missouri","Information",54102,2699,1144371000
2021,29,"Missouri","Information",51727,2720,1238215000
2001,29,"Missouri","Leisure and Hospitality",241557,12898,771078000
2002,29,"Missouri","Leisure and Hospitality",246171,13332,787760000
2003,29,"Missouri","Leisure and Hospitality",253770,13448,844841000
2004,29,"Missouri","Leisure and Hospitality",261349,13741,861207000
2005,29,"Missouri","Leisure and Hospitality",266658,13945,846764000
2006,29,"Missouri","Leisure and Hospitality",274228,14095,942706000
2007,29,"Missouri","Leisure and Hospitality",271898,14419,1003093000
2008,29,"Missouri","Leisure and Hospitality",278813,14354,1031644000
2009,29,"Missouri","Leisure and Hospitality",266856,14241,1000397000
2010,29,"Missouri","Leisure and Hospitality",262385,14424,998154000
2011,29,"Missouri","Leisure and Hospitality",269946,14413,993930000
2012,29,"Missouri","Leisure and Hospitality",272792,14566,1079690000
2013,29,"Missouri","Leisure and Hospitality",277247,14539,1141458000
2014,29,"Missouri","Leisure and Hospitality",283888,14584,1169023000
2015,29,"Missouri","Leisure and Hospitality",294352,14596,1210267000
2016,29,"Missouri","Leisure and Hospitality",300538,14778,1284492000
2017,29,"Missouri","Leisure and Hospitality",309171,15196,1359079000
2018,29,"Missouri","Leisure and Hospitality",311534,15188,1422532000
2019,29,"Missouri","Leisure and Hospitality",311015,15392,1406166000
2020,29,"Missouri","Leisure and Hospitality",309478,15268,1513852000
2021,29,"Missouri","Leisure and Hospitality",269864,15599,1314378000
2001,29,"Missouri","Manufacturing",329944,7216,2799306000
2002,29,"Missouri","Manufacturing",303327,7112,2654009000
2003,29,"Missouri","Manufacturing",307579,7042,2727224000
2004,29,"Missouri","Manufacturing",301047,7019,2754983000
2005,29,"Missouri","Manufacturing",293660,6935,2768027000
2006,29,"Missouri","Manufacturing",299056,6885,3170548000
2007,29,"Missouri","Manufacturing",284021,6868,3058918000
2008,29,"Missouri","Manufacturing",276859,6744,3096481000
2009,29,"Missouri","Manufacturing",239279,6387,2736998000
2010,29,"Missouri","Manufacturing",223091,6222,2504523000
2011,29,"Missouri","Manufacturing",217634,6114,2601858000
2012,29,"Missouri","Manufacturing",223403,6097,2680152000
2013,29,"Missouri","Manufacturing",224067,5957,2857962000
2014,29,"Missouri","Manufacturing",224707,5946,3140051000
2015,29,"Missouri","Manufacturing",257641,5907,3450198000
2016,29,"Missouri","Manufacturing",258054,5833,3562718000
2017,29,"Missouri","Manufacturing",262948,5760,3721781000
2018,29,"Missouri","Manufacturing",267884,5677,4022358000
2019,29,"Missouri","Manufacturing",277441,5609,4228151000
2020,29,"Missouri","Manufacturing",276173,5548,4110994000
2021,29,"Missouri","Manufacturing",271273,5532,4103592000
2001,29,"Missouri","Other Services",117592,16063,544681000
2002,29,"Missouri","Other Services",118354,16510,574336000
2003,29,"Missouri","Other Services",121018,16477,578460000
2004,29,"Missouri","Other Services",122924,16611,597112000
2005,29,"Missouri","Other Services",119847,16685,601509000
2006,29,"Missouri","Other Services",120263,16348,651360000
2007,29,"Missouri","Other Services",117824,16296,668618000
2008,29,"Missouri","Other Services",114231,15927,669036000
2009,29,"Missouri","Other Services",112671,15729,667233000
2010,29,"Missouri","Other Services",112402,15676,643796000
2011,29,"Missouri","Other Services",109747,15522,639513000
2012,29,"Missouri","Other Services",108260,15516,668547000
2013,29,"Missouri","Other Services",108479,15357,673321000
2014,29,"Missouri","Other Services",108331,15324,708655000
2015,29,"Missouri","Other Services",109894,15357,734510000
2016,29,"Missouri","Other Services",112527,15543,754088000
2017,29,"Missouri","Other Services",114125,15702,808354000
2018,29,"Missouri","Other Services",111349,15566,786725000
2019,29,"Missouri","Other Services",110385,15491,802469000
2020,29,"Missouri","Other Services",110736,15439,837201000
2021,29,"Missouri","Other Services",105632,15608,832688000
2001,29,"Missouri","Professional and Business Services",330522,20103,3341305000
2002,29,"Missouri","Professional and Business Services",314916,20548,3295321000
2003,29,"Missouri","Professional and Business Services",321511,20742,3173911000
2004,29,"Missouri","Professional and Business Services",340275,21364,3453670000
2005,29,"Missouri","Professional and Business Services",345511,21879,3768312000
2006,29,"Missouri","Professional and Business Services",359347,22338,4172498000
2007,29,"Missouri","Professional and Business Services",349345,22660,4334859000
2008,29,"Missouri","Professional and Business Services",354758,22472,4329191000
2009,29,"Missouri","Professional and Business Services",335013,22284,4383854000
2010,29,"Missouri","Professional and Business Services",325861,21844,4226094000
2011,29,"Missouri","Professional and Business Services",333844,21547,4433346000
2012,29,"Missouri","Professional and Business Services",334327,21690,4639624000
2013,29,"Missouri","Professional and Business Services",364084,21958,5098539000
2014,29,"Missouri","Professional and Business Services",380965,22299,5360056000
2015,29,"Missouri","Professional and Business Services",405898,22695,6175695000
2016,29,"Missouri","Professional and Business Services",413455,23083,5855555000
2017,29,"Missouri","Professional and Business Services",427317,23175,6349821000
2018,29,"Missouri","Professional and Business Services",429685,22973,6472177000
2019,29,"Missouri","Professional and Business Services",432584,22811,6853926000
2020,29,"Missouri","Professional and Business Services",439907,22697,7548325000
2021,29,"Missouri","Professional and Business Services",422270,22974,7415697000
2001,29,"Missouri","Public Administration",12355,379,112080000
2002,29,"Missouri","Public Administration",11566,349,110142000
2001,29,"Missouri","Trade, Transportation, and Utilities",553241,37931,3742911000
2002,29,"Missouri","Trade, Transportation, and Utilities",531944,37842,3543117000
2003,29,"Missouri","Trade, Transportation, and Utilities",542274,37609,3592416000
2004,29,"Missouri","Trade, Transportation, and Utilities",549333,37519,3614388000
2005,29,"Missouri","Trade, Transportation, and Utilities",544838,37281,3709562000
2006,29,"Missouri","Trade, Transportation, and Utilities",548938,36992,3992492000
2007,29,"Missouri","Trade, Transportation, and Utilities",536312,37024,4041677000
2008,29,"Missouri","Trade, Transportation, and Utilities",537833,36203,4196894000
2009,29,"Missouri","Trade, Transportation, and Utilities",511917,35325,3928743000
2010,29,"Missouri","Trade, Transportation, and Utilities",499730,34800,3799507000
2011,29,"Missouri","Trade, Transportation, and Utilities",500076,34495,3962069000
2012,29,"Missouri","Trade, Transportation, and Utilities",503045,34357,4186544000
2013,29,"Missouri","Trade, Transportation, and Utilities",501136,34018,4133207000
2014,29,"Missouri","Trade, Transportation, and Utilities",515506,33918,4350846000
2015,29,"Missouri","Trade, Transportation, and Utilities",528026,34011,4636810000
2016,29,"Missouri","Trade, Transportation, and Utilities",543119,33782,4713640000
2017,29,"Missouri","Trade, Transportation, and Utilities",529360,33534,4943984000
2018,29,"Missouri","Trade, Transportation, and Utilities",542238,33139,5401203000
2019,29,"Missouri","Trade, Transportation, and Utilities",547968,32785,5617408000
2020,29,"Missouri","Trade, Transportation, and Utilities",554695,32407,5778905000
2021,29,"Missouri","Trade, Transportation, and Utilities",545942,32626,5755057000
2001,29,"Missouri","Unclassified",1117,1182,3696000
2002,29,"Missouri","Unclassified",921,2451,2358000
2003,29,"Missouri","Unclassified",2466,3732,6142000
2004,29,"Missouri","Unclassified",2418,4738,5263000
2005,29,"Missouri","Unclassified",2278,3139,4400000
2006,29,"Missouri","Unclassified",1148,2993,2305000
2007,29,"Missouri","Unclassified",290,1607,1831000
2008,29,"Missouri","Unclassified",418,2294,2384000
2009,29,"Missouri","Unclassified",234,4026,3836000
2010,29,"Missouri","Unclassified",493,5417,5508000
2011,29,"Missouri","Unclassified",154,3853,3309000
2012,29,"Missouri","Unclassified",39,905,615000
2013,29,"Missouri","Unclassified",76,1354,667000
2014,29,"Missouri","Unclassified",85,1586,1276000
2015,29,"Missouri","Unclassified",1691,2063,2489000
2016,29,"Missouri","Unclassified",1597,1751,3444000
2017,29,"Missouri","Unclassified",504,555,1422000
2018,29,"Missouri","Unclassified",666,811,1569000
2019,29,"Missouri","Unclassified",629,618,1424000
2020,29,"Missouri","Unclassified",575,694,1872000
2021,29,"Missouri","Unclassified",497,445,2079000
2001,30,"Montana","Agriculture and Mining",3281,658,34509000
2002,30,"Montana","Agriculture and Mining",3296,683,27941000
2003,30,"Montana","Agriculture and Mining",3041,709,28312000
2004,30,"Montana","Agriculture and Mining",3039,702,29900000
2005,30,"Montana","Agriculture and Mining",3322,699,35685000
2006,30,"Montana","Agriculture and Mining",3292,709,46556000
2007,30,"Montana","Agriculture and Mining",4370,736,55429000
2008,30,"Montana","Agriculture and Mining",4481,759,73842000
2009,30,"Montana","Agriculture and Mining",2879,683,44883000
2010,30,"Montana","Agriculture and Mining",3353,712,49315000
2011,30,"Montana","Agriculture and Mining",3393,723,58526000
2012,30,"Montana","Agriculture and Mining",3636,763,69727000
2013,30,"Montana","Agriculture and Mining",3954,764,76501000
2014,30,"Montana","Agriculture and Mining",4291,775,106573000
2015,30,"Montana","Agriculture and Mining",5097,757,111151000
2016,30,"Montana","Agriculture and Mining",4297,709,96345000
2017,30,"Montana","Agriculture and Mining",4162,631,77922000
2018,30,"Montana","Agriculture and Mining",5410,646,121402000
2019,30,"Montana","Agriculture and Mining",5395,626,122564000
2020,30,"Montana","Agriculture and Mining",5233,622,119653000
2021,30,"Montana","Agriculture and Mining",5568,624,124281000
2001,30,"Montana","Construction",18213,3958,121316000
2002,30,"Montana","Construction",17798,4141,123593000
2003,30,"Montana","Construction",20041,4530,138270000
2004,30,"Montana","Construction",21712,4893,146477000
2005,30,"Montana","Construction",23695,5367,165681000
2006,30,"Montana","Construction",26197,5769,201795000
2007,30,"Montana","Construction",28636,6163,232807000
2008,30,"Montana","Construction",28554,5952,253284000
2009,30,"Montana","Construction",22105,5421,206536000
2010,30,"Montana","Construction",21321,5111,173024000
2011,30,"Montana","Construction",18960,4902,176128000
2012,30,"Montana","Construction",20296,4855,196078000
2013,30,"Montana","Construction",20686,4935,201592000
2014,30,"Montana","Construction",22438,5087,227046000
2015,30,"Montana","Construction",24785,5291,250588000
2016,30,"Montana","Construction",25024,5326,267254000
2017,30,"Montana","Construction",25561,5472,289776000
2018,30,"Montana","Construction",26855,5651,307810000
2019,30,"Montana","Construction",27928,5699,349386000
2020,30,"Montana","Construction",29447,5902,385727000
2021,30,"Montana","Construction",30231,6302,397062000
2001,30,"Montana","Education and Health Services",52532,3150,307338000
2002,30,"Montana","Education and Health Services",53709,3288,344602000
2003,30,"Montana","Education and Health Services",54181,3358,353148000
2004,30,"Montana","Education and Health Services",54925,3429,366369000
2005,30,"Montana","Education and Health Services",57255,3494,389292000
2006,30,"Montana","Education and Health Services",59091,3571,427275000
2007,30,"Montana","Education and Health Services",58184,3660,450562000
2008,30,"Montana","Education and Health Services",60049,3622,488651000
2009,30,"Montana","Education and Health Services",58320,3692,494801000
2010,30,"Montana","Education and Health Services",64578,3723,499243000
2011,30,"Montana","Education and Health Services",63970,3732,534879000
2012,30,"Montana","Education and Health Services",63942,3867,566447000
2013,30,"Montana","Education and Health Services",64412,3895,570966000
2014,30,"Montana","Education and Health Services",66057,3908,612934000
2015,30,"Montana","Education and Health Services",71751,3965,677370000
2016,30,"Montana","Education and Health Services",74289,4066,728030000
2017,30,"Montana","Education and Health Services",76653,4083,820272000
2018,30,"Montana","Education and Health Services",78073,4177,856663000
2019,30,"Montana","Education and Health Services",78094,4228,899083000
2020,30,"Montana","Education and Health Services",78498,4405,923415000
2021,30,"Montana","Education and Health Services",78547,4557,939268000
2001,30,"Montana","Financial Activities",18568,3030,136683000
2002,30,"Montana","Financial Activities",18655,3251,145278000
2003,30,"Montana","Financial Activities",19465,3397,155189000
2004,30,"Montana","Financial Activities",20965,3472,171483000
2005,30,"Montana","Financial Activities",21684,3664,182628000
2006,30,"Montana","Financial Activities",21775,3823,196402000
2007,30,"Montana","Financial Activities",22009,4002,224625000
2008,30,"Montana","Financial Activities",21371,3953,229011000
2009,30,"Montana","Financial Activities",22268,3804,246775000
2010,30,"Montana","Financial Activities",19877,3725,221320000
2011,30,"Montana","Financial Activities",19437,3630,231348000
2012,30,"Montana","Financial Activities",19600,3712,234312000
2013,30,"Montana","Financial Activities",17548,3716,233869000
2014,30,"Montana","Financial Activities",19518,3797,248091000
2015,30,"Montana","Financial Activities",22350,3855,287749000
2016,30,"Montana","Financial Activities",22603,3961,292720000
2017,30,"Montana","Financial Activities",21861,3990,312473000
2018,30,"Montana","Financial Activities",22544,4099,337242000
2019,30,"Montana","Financial Activities",22645,4151,350726000
2020,30,"Montana","Financial Activities",22778,4239,359941000
2021,30,"Montana","Financial Activities",23214,4432,419665000
2001,30,"Montana","Information",8445,647,63081000
2002,30,"Montana","Information",9072,646,64735000
2003,30,"Montana","Information",7376,620,61222000
2004,30,"Montana","Information",7052,617,61634000
2005,30,"Montana","Information",7101,613,67948000
2006,30,"Montana","Information",7048,622,66513000
2007,30,"Montana","Information",6647,637,70816000
2008,30,"Montana","Information",7688,628,81473000
2009,30,"Montana","Information",7785,587,74090000
2010,30,"Montana","Information",7849,575,74995000
2011,30,"Montana","Information",8139,581,84572000
2012,30,"Montana","Information",8115,601,91294000
2013,30,"Montana","Information",7911,642,95784000
2014,30,"Montana","Information",8183,653,103145000
2015,30,"Montana","Information",8075,638,95355000
2016,30,"Montana","Information",7855,663,92774000
2017,30,"Montana","Information",8181,684,108868000
2018,30,"Montana","Information",8402,671,112219000
2019,30,"Montana","Information",8349,679,115133000
2020,30,"Montana","Information",7744,680,114330000
2021,30,"Montana","Information",7471,705,119670000
2001,30,"Montana","Leisure and Hospitality",46581,4014,111107000
2002,30,"Montana","Leisure and Hospitality",47450,4126,115200000
2003,30,"Montana","Leisure and Hospitality",49240,4255,122546000
2004,30,"Montana","Leisure and Hospitality",51268,4359,130208000
2005,30,"Montana","Leisure and Hospitality",51685,4409,135050000
2006,30,"Montana","Leisure and Hospitality",53264,4494,145926000
2007,30,"Montana","Leisure and Hospitality",55036,4529,160982000
2008,30,"Montana","Leisure and Hospitality",56096,4473,173105000
2009,30,"Montana","Leisure and Hospitality",54011,4513,169959000
2010,30,"Montana","Leisure and Hospitality",53695,4541,171053000
2011,30,"Montana","Leisure and Hospitality",51996,4532,168833000
2012,30,"Montana","Leisure and Hospitality",53510,4594,180792000
2013,30,"Montana","Leisure and Hospitality",56456,4606,196056000
2014,30,"Montana","Leisure and Hospitality",56917,4640,208474000
2015,30,"Montana","Leisure and Hospitality",60153,4674,225540000
2016,30,"Montana","Leisure and Hospitality",62230,4725,238582000
2017,30,"Montana","Leisure and Hospitality",61609,4801,249967000
2018,30,"Montana","Leisure and Hospitality",62210,4805,256701000
2019,30,"Montana","Leisure and Hospitality",62518,4833,263864000
2020,30,"Montana","Leisure and Hospitality",63311,4825,278088000
2021,30,"Montana","Leisure and Hospitality",61456,5011,272704000
2001,30,"Montana","Manufacturing",20377,1226,157254000
2002,30,"Montana","Manufacturing",18361,1201,147676000
2003,30,"Montana","Manufacturing",17884,1227,146098000
2004,30,"Montana","Manufacturing",17817,1267,153343000
2005,30,"Montana","Manufacturing",18456,1283,165062000
2006,30,"Montana","Manufacturing",18129,1274,174011000
2007,30,"Montana","Manufacturing",19005,1301,183572000
2008,30,"Montana","Manufacturing",18148,1320,176171000
2009,30,"Montana","Manufacturing",14817,1227,158883000
2010,30,"Montana","Manufacturing",13721,1210,136044000
2011,30,"Montana","Manufacturing",14697,1210,150174000
2012,30,"Montana","Manufacturing",14495,1240,160686000
2013,30,"Montana","Manufacturing",14100,1231,156853000
2014,30,"Montana","Manufacturing",15902,1251,173451000
2015,30,"Montana","Manufacturing",17162,1276,201425000
2016,30,"Montana","Manufacturing",17569,1291,213793000
2017,30,"Montana","Manufacturing",18605,1315,244683000
2018,30,"Montana","Manufacturing",19573,1334,248468000
2019,30,"Montana","Manufacturing",20339,1345,256797000
2020,30,"Montana","Manufacturing",20510,1337,267455000
2021,30,"Montana","Manufacturing",20583,1368,277417000
2001,30,"Montana","Other Services",14381,3008,58978000
2002,30,"Montana","Other Services",14559,3074,60083000
2003,30,"Montana","Other Services",13655,3058,58567000
2004,30,"Montana","Other Services",14208,3078,62600000
2005,30,"Montana","Other Services",14204,3083,64183000
2006,30,"Montana","Other Services",14294,3074,67642000
2007,30,"Montana","Other Services",14580,3097,73925000
2008,30,"Montana","Other Services",14477,3074,76984000
2009,30,"Montana","Other Services",14203,3032,77531000
2010,30,"Montana","Other Services",14716,3093,78566000
2011,30,"Montana","Other Services",14394,3058,81536000
2012,30,"Montana","Other Services",14581,3121,88108000
2013,30,"Montana","Other Services",15133,3191,94162000
2014,30,"Montana","Other Services",15335,3163,98775000
2015,30,"Montana","Other Services",16210,3141,104088000
2016,30,"Montana","Other Services",16364,3195,107598000
2017,30,"Montana","Other Services",16677,3278,120156000
2018,30,"Montana","Other Services",17156,3361,124463000
2019,30,"Montana","Other Services",17014,3338,125964000
2020,30,"Montana","Other Services",16827,3359,130911000
2021,30,"Montana","Other Services",16502,3424,134293000
2001,30,"Montana","Professional and Business Services",30363,4104,184854000
2002,30,"Montana","Professional and Business Services",27727,4298,167847000
2003,30,"Montana","Professional and Business Services",28993,4474,186442000
2004,30,"Montana","Professional and Business Services",29884,4686,199807000
2005,30,"Montana","Professional and Business Services",35694,4903,233881000
2006,30,"Montana","Professional and Business Services",37972,5076,274975000
2007,30,"Montana","Professional and Business Services",34900,5290,268690000
2008,30,"Montana","Professional and Business Services",33831,5369,278543000
2009,30,"Montana","Professional and Business Services",31224,5357,263115000
2010,30,"Montana","Professional and Business Services",31657,5347,266453000
2011,30,"Montana","Professional and Business Services",31048,5378,271396000
2012,30,"Montana","Professional and Business Services",31380,5403,273377000
2013,30,"Montana","Professional and Business Services",31911,5493,278945000
2014,30,"Montana","Professional and Business Services",31944,5509,323131000
2015,30,"Montana","Professional and Business Services",36037,5615,354254000
2016,30,"Montana","Professional and Business Services",36777,5689,364986000
2017,30,"Montana","Professional and Business Services",34463,5802,349630000
2018,30,"Montana","Professional and Business Services",39896,5926,400673000
2019,30,"Montana","Professional and Business Services",41562,6025,455185000
2020,30,"Montana","Professional and Business Services",42814,6147,501045000
2021,30,"Montana","Professional and Business Services",45411,6326,556030000
2001,30,"Montana","Public Administration",482,57,3723000
2002,30,"Montana","Public Administration",267,47,2268000
2001,30,"Montana","Trade, Transportation, and Utilities",77749,8039,408749000
2002,30,"Montana","Trade, Transportation, and Utilities",78418,8113,415659000
2003,30,"Montana","Trade, Transportation, and Utilities",78084,8105,431111000
2004,30,"Montana","Trade, Transportation, and Utilities",80761,8037,450768000
2005,30,"Montana","Trade, Transportation, and Utilities",81021,8137,467712000
2006,30,"Montana","Trade, Transportation, and Utilities",81443,8138,512061000
2007,30,"Montana","Trade, Transportation, and Utilities",83463,8299,544127000
2008,30,"Montana","Trade, Transportation, and Utilities",85919,8126,590655000
2009,30,"Montana","Trade, Transportation, and Utilities",80921,7972,549729000
2010,30,"Montana","Trade, Transportation, and Utilities",78343,7903,526424000
2011,30,"Montana","Trade, Transportation, and Utilities",78927,7873,557229000
2012,30,"Montana","Trade, Transportation, and Utilities",80195,8047,602896000
2013,30,"Montana","Trade, Transportation, and Utilities",81641,8008,628843000
2014,30,"Montana","Trade, Transportation, and Utilities",84989,7941,657384000
2015,30,"Montana","Trade, Transportation, and Utilities",90813,7981,758773000
2016,30,"Montana","Trade, Transportation, and Utilities",90558,7926,774010000
2017,30,"Montana","Trade, Transportation, and Utilities",86568,7874,733004000
2018,30,"Montana","Trade, Transportation, and Utilities",88279,7757,784713000
2019,30,"Montana","Trade, Transportation, and Utilities",88289,7741,817051000
2020,30,"Montana","Trade, Transportation, and Utilities",87591,7675,844240000
2021,30,"Montana","Trade, Transportation, and Utilities",88940,7671,885766000
2001,30,"Montana","Unclassified",291,403,960000
2002,30,"Montana","Unclassified",39,104,139000
2003,30,"Montana","Unclassified",78,98,290000
2004,30,"Montana","Unclassified",115,146,281000
2005,30,"Montana","Unclassified",63,84,297000
2006,30,"Montana","Unclassified",56,99,124000
2007,30,"Montana","Unclassified",7,41,34000
2008,30,"Montana","Unclassified",13,42,155000
2009,30,"Montana","Unclassified",3,38,24000
2010,30,"Montana","Unclassified",5,71,51000
2011,30,"Montana","Unclassified",20,68,93000
2012,30,"Montana","Unclassified",4,38,3000
2013,30,"Montana","Unclassified",9,48,6000
2014,30,"Montana","Unclassified",3,67,115000
2015,30,"Montana","Unclassified",63,77,203000
2016,30,"Montana","Unclassified",58,75,170000
2017,30,"Montana","Unclassified",14,11,97000
2018,30,"Montana","Unclassified",44,33,104000
2019,30,"Montana","Unclassified",28,21,93000
2020,30,"Montana","Unclassified",34,40,148000
2021,30,"Montana","Unclassified",21,24,55000
2001,31,"Nebraska","Agriculture and Mining",1211,336,9182000
2002,31,"Nebraska","Agriculture and Mining",892,323,6738000
2003,31,"Nebraska","Agriculture and Mining",782,314,6366000
2004,31,"Nebraska","Agriculture and Mining",445,317,4035000
2005,31,"Nebraska","Agriculture and Mining",492,290,4588000
2006,31,"Nebraska","Agriculture and Mining",368,297,3085000
2007,31,"Nebraska","Agriculture and Mining",519,297,5686000
2008,31,"Nebraska","Agriculture and Mining",389,303,6818000
2009,31,"Nebraska","Agriculture and Mining",513,299,6116000
2010,31,"Nebraska","Agriculture and Mining",373,296,6140000
2011,31,"Nebraska","Agriculture and Mining",373,289,6636000
2012,31,"Nebraska","Agriculture and Mining",502,302,5992000
2013,31,"Nebraska","Agriculture and Mining",410,298,6379000
2014,31,"Nebraska","Agriculture and Mining",438,317,7330000
2015,31,"Nebraska","Agriculture and Mining",1169,321,13193000
2016,31,"Nebraska","Agriculture and Mining",1357,318,15677000
2017,31,"Nebraska","Agriculture and Mining",1324,232,15362000
2018,31,"Nebraska","Agriculture and Mining",1863,227,23325000
2019,31,"Nebraska","Agriculture and Mining",1921,215,23331000
2020,31,"Nebraska","Agriculture and Mining",1704,206,23575000
2021,31,"Nebraska","Agriculture and Mining",1589,219,22731000
2001,31,"Nebraska","Construction",39892,5561,299891000
2002,31,"Nebraska","Construction",40293,5730,294162000
2003,31,"Nebraska","Construction",40782,5839,304560000
2004,31,"Nebraska","Construction",42998,5983,320887000
2005,31,"Nebraska","Construction",42691,6078,324600000
2006,31,"Nebraska","Construction",42394,6058,357153000
2007,31,"Nebraska","Construction",40604,6033,359806000
2008,31,"Nebraska","Construction",43250,5926,399273000
2009,31,"Nebraska","Construction",41680,5821,388928000
2010,31,"Nebraska","Construction",38357,5810,346700000
2011,31,"Nebraska","Construction",36333,5764,338675000
2012,31,"Nebraska","Construction",37180,5850,363290000
2013,31,"Nebraska","Construction",38327,5967,388942000
2014,31,"Nebraska","Construction",39807,6138,418836000
2015,31,"Nebraska","Construction",44644,6245,466250000
2016,31,"Nebraska","Construction",45778,6357,481689000
2017,31,"Nebraska","Construction",47950,6469,542463000
2018,31,"Nebraska","Construction",49503,6514,585635000
2019,31,"Nebraska","Construction",48558,6505,599374000
2020,31,"Nebraska","Construction",51754,6523,663210000
2021,31,"Nebraska","Construction",51744,6682,653705000
2001,31,"Nebraska","Education and Health Services",114922,4617,780284000
2002,31,"Nebraska","Education and Health Services",118749,4872,820650000
2003,31,"Nebraska","Education and Health Services",120196,4891,851447000
2004,31,"Nebraska","Education and Health Services",120427,4982,891975000
2005,31,"Nebraska","Education and Health Services",122314,5117,907668000
2006,31,"Nebraska","Education and Health Services",124785,5256,990083000
2007,31,"Nebraska","Education and Health Services",120534,5417,1078769000
2008,31,"Nebraska","Education and Health Services",124555,5523,1116110000
2009,31,"Nebraska","Education and Health Services",125258,5544,1106176000
2010,31,"Nebraska","Education and Health Services",128200,5713,1126125000
2011,31,"Nebraska","Education and Health Services",129310,5781,1163995000
2012,31,"Nebraska","Education and Health Services",130534,5931,1229070000
2013,31,"Nebraska","Education and Health Services",128328,5930,1244661000
2014,31,"Nebraska","Education and Health Services",130868,5964,1266465000
2015,31,"Nebraska","Education and Health Services",140547,6095,1416196000
2016,31,"Nebraska","Education and Health Services",145474,6238,1444450000
2017,31,"Nebraska","Education and Health Services",149980,6331,1609238000
2018,31,"Nebraska","Education and Health Services",153867,6397,1669288000
2019,31,"Nebraska","Education and Health Services",156063,6517,1732595000
2020,31,"Nebraska","Education and Health Services",156165,6519,1840569000
2021,31,"Nebraska","Education and Health Services",157245,6683,1906579000
2001,31,"Nebraska","Financial Activities",62150,5323,593542000
2002,31,"Nebraska","Financial Activities",63185,5702,647691000
2003,31,"Nebraska","Financial Activities",67743,5834,764746000
2004,31,"Nebraska","Financial Activities",68441,5837,787016000
